a1 number,a2 number,r
0,22,0.15559695910358617
0,34,0.11379606127300748
0,35,0.14330450436963377
0,52,0.16342643481479083
0,61,0.05883910888223877
0,69,0.11308484882505068
0,85,0.1419184022707019
0,92,0.12328807362459099
0,94,0.08367714027025695
1,3,0.1279577470509992
1,7,0.07656973691418936
1,16,0.141617250773431
1,19,0.17025215376406436
1,30,0.043099795661674704
1,44,0.06808083826427244
1,47,0.11961456613560278
1,67,0.12266276046749776
1,76,0.1116036957866768
2,8,0.16802609650323352
2,9,0.0721853789516541
2,57,0.041833433189496845
2,60,0.11602764186981208
2,62,0.08150461675384542
2,68,0.020097759222303824
2,73,0.14429892959295434
2,83,0.1631384698226066
2,88,0.1244397821835342
3,7,0.05150115195252535
3,20,0.16071342698974195
3,25,0.10034673657338333
3,26,0.1673174119728142
3,30,0.08582961239597824
3,47,0.010398011786764754
3,67,0.17428835112731886
3,76,0.15210949186473974
4,29,0.05292381258054012
4,31,0.09977604691424036
4,36,0.16793716686958837
4,84,0.02231800355804257
5,18,0.15843397093770234
5,28,0.1546911009969498
5,40,0.060325455108026345
5,82,0.09344285813150437
5,83,0.16851008964002923
5,93,0.1395320340725335
6,8,0.1112988962768902
6,14,0.10762892349892385
6,17,0.1667991306863444
6,20,0.13537425993189364
6,25,0.15694029862176792
6,26,0.16131511119657224
6,33,0.01132943121618108
6,88,0.15732002532761294
6,89,0.05879177436952713
7,20,0.15340711989417594
7,25,0.14874557896846344
7,30,0.034409951560318355
7,44,0.12966737908270615
7,47,0.043071025872708
7,67,0.1401368428966817
7,76,0.11973916773343042
8,14,0.13370206274096108
8,33,0.12209782150513056
8,57,0.14135409698457096
8,68,0.14805647083182474
8,73,0.09561070250349335
8,88,0.10037780097529705
8,89,0.15703920859904832
8,96,0.10957761540420509
9,57,0.09906505515650213
9,60,0.11050622087438798
9,62,0.10803976126484172
9,68,0.09198920237319226
9,82,0.10760553635229217
9,83,0.12492123474525604
10,13,0.11640813746268529
10,21,0.11353924073242284
10,22,0.16357571918727376
10,27,0.11994169136239356
10,41,0.16780165035597197
10,42,0.16477304682356222
10,45,0.13965560474594918
10,53,0.04326094763813333
10,56,0.11515380896162938
10,63,0.15798859203042306
10,74,0.15330516316584786
10,78,0.11956225887327213
10,87,0.08461317871416517
10,95,0.160777878211538
11,32,0.11059335937071257
11,48,0.12491492898909548
11,55,0.1450864219919957
11,71,0.1435848937261212
11,92,0.1058525366703954
12,24,0.1710010349206259
12,32,0.13331962594662258
12,41,0.12954011500756862
12,42,0.1315158349218565
12,48,0.14611501221337228
12,55,0.11114771794661688
12,56,0.15260416366342974
12,71,0.08541403926193589
12,74,0.15211011060865437
12,90,0.13054301493096213
12,91,0.14618888518575948
13,24,0.08541709757064962
13,36,0.14330371576867387
13,41,0.08248959013062726
13,42,0.07942451316009523
13,53,0.144564779123575
13,56,0.16260936319650446
13,74,0.05876932900084333
13,78,0.07615169856214257
13,91,0.13477402661712354
14,16,0.16120737486898187
14,20,0.05303211135953044
14,33,0.10748890755252337
14,59,0.1685000589565485
14,67,0.13375060570193467
14,76,0.12910878475669102
14,80,0.16513264691554175
14,89,0.1620301631333721
14,96,0.1586256283025559
15,37,0.0580269076177547
15,49,0.019944211470810956
15,79,0.15973939497437692
15,99,0.11825795855314629
16,19,0.03932336315300009
16,20,0.12549678817396723
16,30,0.1514978229328907
16,59,0.06634512325302132
16,66,0.1669435395714864
16,67,0.04278231038042347
16,70,0.15974238951402148
16,76,0.06464119323703434
16,80,0.10125452391564754
17,25,0.11363643834628714
17,26,0.047123425092186005
17,33,0.1599388856164322
17,46,0.06513389807482058
17,75,0.13330934911100856
17,89,0.11103352253182033
18,28,0.02855071863658669
18,54,0.11129097937385235
18,58,0.12468875341197537
18,60,0.12642729446854656
18,82,0.1363560074852906
18,83,0.06471957848441973
18,93,0.10325280377114296
18,98,0.07482523142862739
19,20,0.1592261240956165
19,59,0.04700449318388978
19,65,0.16313398966236256
19,66,0.1338761718781206
19,67,0.08194558838639866
19,70,0.12902893303279336
19,76,0.10395633098178857
19,80,0.08492082780109518
19,86,0.13655842905700477
20,30,0.15497913520120388
20,33,0.13093270455890182
20,47,0.15293343358557526
20,59,0.15225578502312279
20,67,0.09004942097469132
20,76,0.08027847626727569
20,80,0.1611037776650893
21,22,0.07329204194382123
21,27,0.008451608669978967
21,34,0.09397380858943719
21,45,0.17411113883925125
21,48,0.14403223441846036
21,53,0.1394319909606847
21,56,0.058070166786052646
21,61,0.1618820294085206
21,63,0.16222107551917136
21,85,0.06825786367039866
21,87,0.15438781996010145
22,27,0.06526560231056068
22,34,0.06311559166675303
22,35,0.1447243814652068
22,43,0.11133607868195554
22,45,0.16102412332055444
22,50,0.16427973569936283
22,52,0.11757979417935564
22,53,0.1733592733699437
22,56,0.12984963585608314
22,61,0.12683940852789563
22,63,0.13237553454646095
22,85,0.06158112355428802
22,87,0.16879426944796438
22,95,0.16788719490886314
23,57,0.15204679398824386
23,58,0.06489155317373768
23,60,0.11108785805481458
23,73,0.09527782965987323
23,83,0.15941174882745066
23,96,0.09585311645441864
24,36,0.08111475211840087
24,41,0.05073190250779822
24,42,0.05107365996278569
24,74,0.04604616067227293
24,78,0.15060967224659816
24,91,0.052936992793271596
25,26,0.06780387371850714
25,33,0.14580418008644885
25,46,0.17148697632783338
25,47,0.10639420377727471
25,89,0.13318994043490592
26,33,0.1521451596952078
26,46,0.10413532982043122
26,47,0.17389428378483648
26,89,0.11523439773068105
27,34,0.08638272278101362
27,43,0.17018013553680478
27,45,0.17353590269683827
27,48,0.14376694168493406
27,53,0.14409422532445432
27,56,0.06519550642533721
27,61,0.15478474911514847
27,63,0.15961678465647536
27,85,0.06145529350186941
27,87,0.15684031736133255
28,54,0.09673680132492934
28,58,0.14760515225848575
28,60,0.15492780022513494
28,82,0.1499571857036376
28,83,0.0925757516113064
28,93,0.07644241694708846
28,98,0.06991571290084876
29,31,0.13974096548994788
29,36,0.1602103808692146
29,84,0.046293733666774084
29,90,0.15527840677626709
29,91,0.16232897049444528
30,44,0.10325169350563007
30,47,0.07702596969351373
30,67,0.12137568508781613
30,76,0.10390450118146564
31,36,0.14169506522392844
31,54,0.17110822457153468
31,84,0.12178342226841592
31,93,0.13594117422951627
32,48,0.1172756315490227
32,55,0.03450180057589015
32,71,0.05170190735203876
32,92,0.17222719548798296
33,88,0.16795047918977787
33,89,0.055183917120430616
34,35,0.1637793620596811
34,43,0.15795654986780241
34,48,0.12922704531585763
34,52,0.1521232220787186
34,56,0.13311803441872064
34,61,0.0696243350681662
34,85,0.028819238265612324
34,92,0.11315713429828651
35,43,0.07681470080618649
35,50,0.06497427311248707
35,51,0.16231337137834762
35,52,0.043731946732435946
35,61,0.17131310448175857
35,63,0.17303494405071915
35,94,0.17214058108666458
36,41,0.13154146926437482
36,42,0.13209664088389791
36,54,0.12956343976798063
36,74,0.12527611326952606
36,91,0.09542872909576673
36,98,0.1740781995718267
37,49,0.07733893626787423
37,79,0.11359778923256533
37,99,0.1553328774305815
38,72,0.061763537720971186
38,75,0.06533287040668193
38,81,0.02799841382580792
38,88,0.15866622232779728
38,89,0.1674467970267054
39,50,0.1744957735099048
39,51,0.15516707228421828
39,64,0.07687405607041568
39,65,0.10880687035760891
39,66,0.1746998980114303
39,77,0.044675026355399605
39,79,0.1669756153929953
39,86,0.11046878622078006
39,95,0.16907820311371122
40,82,0.15368602369657516
40,93,0.14700751015108554
40,97,0.11934207466971244
41,42,0.003241862582196871
41,56,0.1535708546486583
41,74,0.0243106887109818
41,78,0.1583107790971325
41,90,0.16914109949458656
41,91,0.06926813118699171
42,56,0.15209602207938272
42,74,0.02154161640065426
42,78,0.15531390493936612
42,90,0.1723776055503696
42,91,0.07190580654374579
43,45,0.1391303704673033
43,50,0.05656423458674532
43,52,0.03346579457530303
43,63,0.09625231020992708
43,85,0.1689395174280039
43,95,0.13060839766167215
44,47,0.17032607249525736
45,52,0.17230259194805841
45,53,0.10559683396858402
45,63,0.04288214989272396
45,65,0.15333904040398447
45,87,0.06203277763159808
45,95,0.021369533512043803
46,72,0.16109959796865056
46,75,0.1184898012979273
46,89,0.16697413874679107
47,67,0.16404102414113939
47,76,0.14190694147155203
48,55,0.1355452210205869
48,56,0.12427382731717455
48,61,0.14086156064921865
48,71,0.09603909325083752
48,85,0.11564906675711395
48,92,0.09197279369540715
49,99,0.11547532615935568
50,51,0.1216717377469508
50,52,0.05063813954742302
50,63,0.1375546966170219
50,95,0.16472948565486442
51,52,0.17009554721133713
51,64,0.11351730342304195
51,77,0.1612729203947704
52,63,0.12942876969220593
52,85,0.1683330477269747
52,95,0.1640741336375137
53,56,0.15351690269235563
53,63,0.1324537023419195
53,78,0.12378085325798652
53,87,0.04508764153735294
53,95,0.12693787378806892
54,58,0.16249310793853897
54,78,0.1716771517832322
54,83,0.167292709401687
54,93,0.123189992845008
54,98,0.04469889368357727
55,71,0.04649241203374919
56,71,0.17228970812907435
56,74,0.15618774024977036
56,85,0.10429986617124005
57,58,0.15777669489464263
57,60,0.09532825586389693
57,62,0.12021753618959335
57,68,0.0330059979572711
57,73,0.10336413861010686
57,83,0.15518297129385056
57,88,0.12498767316589943
57,96,0.15117467633675832
58,60,0.07887193181268909
58,73,0.14274294304044358
58,83,0.10298902393935196
58,96,0.15677588441818907
58,98,0.12220769679018204
59,65,0.15047915524556
59,66,0.10444056463997686
59,67,0.09886291544990476
59,70,0.09518566561119375
59,76,0.12070012228975543
59,80,0.03804802495725042
59,86,0.1311737247744081
60,68,0.12167267296935336
60,73,0.13420530711364773
60,82,0.15182162411326472
60,83,0.06851869772502872
60,96,0.16949152682349009
60,98,0.16481706850441746
61,69,0.1469346530892541
61,85,0.0937092007710742
61,92,0.07540080184972683
61,94,0.13962000561704022
62,68,0.08789993631851206
62,88,0.1254087311992337
63,65,0.17074592557629126
63,87,0.09483389592546984
63,95,0.0382753410104386
64,77,0.055618761540909896
64,79,0.1539083937578429
65,66,0.06664372072975341
65,70,0.08274333386189497
65,77,0.13414592313376825
65,80,0.14631247229130226
65,86,0.032570653647614176
65,95,0.13869284242038485
66,70,0.016196236438767986
66,80,0.08783961069717766
66,86,0.07143004988516687
66,95,0.16930618161193806
67,76,0.02247085094540537
67,80,0.12708859163288128
68,73,0.12972045775992008
68,83,0.17474322635471257
68,88,0.10757963395269839
69,92,0.16301292142998275
69,94,0.0768931663785274
70,80,0.0743960698052927
70,86,0.08534151299471283
71,92,0.17424545466335692
72,75,0.053122047222683794
72,81,0.056537231685072555
73,88,0.15697412707111646
73,96,0.04789160652093887
74,78,0.13421971894972276
74,91,0.0823411477933311
75,81,0.08137149034100741
75,89,0.1559935330415703
76,80,0.1472806887367589
77,79,0.1263979944644829
77,86,0.12497859651483324
78,87,0.16061626301387438
80,86,0.13475526179235775
81,88,0.1715063556966292
82,83,0.10862152202958965
83,93,0.161673399914431
83,98,0.12448033416515347
85,92,0.1215538598447256
86,95,0.1708324633036396
87,95,0.08308377481270951
88,89,0.17076675789147602
90,91,0.12395120819001651
93,98,0.12349599498294818
